source,target
5064,1776
5064,488
5064,190
5064,380
5064,4690
5064,3096
5064,10400
5064,36592
5064,1373737
5064,10990
5064,10215
5064,230194
5064,325
5064,2231
5064,1
5064,131
5064,107515
5064,60034
5064,33829
5064,1164
1776,2559324
1776,27888
1776,3037
1776,4951
1776,1032
1776,1150
1776,64
1776,1769
1776,205
1776,4512
1776,55983
1776,7908
1776,1006721
1776,15175
1776,138
1776,36594
1776,3084
1776,3087
1776,8349
488,13848
488,9261
488,2227
488,500
488,2297235
488,491
488,30807
488,670
488,2154
488,2152
488,1306064
488,174981
488,4430
488,6449
190,3265
190,4078
190,14276
190,74308
190,928572
190,14701
190,3892
190,19429
190,18897
190,15111
190,9979
190,9789
190,20156
190,4347
190,4299
380,1038
380,13
380,4513
380,4517
380,14702
380,45001
380,11477
380,73421
380,1545693
380,1158
380,3092
380,1259
380,19665
380,1208
380,11181
380,30140
380,113
380,55949
380,73641
380,1202593
380,33684
380,138986
380,53397
380,7904
380,7447
380,85564
4690,4038
4690,25626
4690,32396
4690,10468
4690,1884
4690,8891
4690,139
4690,37934
4690,15310
4690,56323
4690,56322
4690,41091
3096,3085
10400,23916
10400,178536
10400,7909
10400,7174
10400,21064
10400,65717
10400,10431
36592,230680
36592,73357
36592,1702761
36592,5469
36592,1291350
36592,2136046
36592,2135942
1373737,47646
1373737,59620
1373737,1108724
10990,10980
10990,10989
10990,1923
10215,116341
10215,7487
10215,71252
10215,237886
10215,47990
10215,112923
10215,1829413
10215,10592
10215,10593
10215,230192
10215,55466
10215,16463
10215,558240
10215,8968
10215,1149345
10215,80535
10215,47632
10215,1116912
10215,2585
10215,100183
10215,13745
10215,62644
10215,32362
10215,58198
10215,1409651
10215,108661
10215,214830
10215,1070445
230194,145755
230194,1082289
230194,1082290
325,84534
325,9315
325,224858
325,544016
325,1740159
325,1945289
325,1135272
325,1776464
325,4244
2231,822
2231,20879
2231,2632
2231,5726
2231,943183
2231,19742
2231,2047
2231,16828
2231,3223
2231,134
2231,27319
2231,6193
2231,113674
2231,10850
2231,44038
2231,35705
2231,143242
2231,103
2231,16767
2231,1188684
2231,57865
2231,287
2231,19119
2231,74568
1,1169636
1,71538
1,1021364
1,12898
1,31
1,11770
1,515
1,4
1,3799
1,130
1,33185
131,6968
131,17142
131,69597
131,85097
107515,1005788
107515,1076915
107515,162339
60034,69899
60034,13636
60034,11076
60034,49827
1164,3999
1164,4000
1164,1222952
1164,1748
1164,1749
1164,1159
1164,1160
1164,148251
1164,4959
27888,194
27888,47096
27888,227
3037,18972
1032,1130441
1032,108650
1032,1130439
1032,1665042
1032,1867
1032,224
1032,72861
1032,941022
1032,102429
1032,6159
1032,5168
1032,70035
1032,39012
1032,2636
1032,1077703
1032,132305
1032,5026
1032,40223
1032,1052109
1032,1052107
1032,1146050
1150,67877
1150,1979
1150,16294
64,27554
64,70654
64,1415341
64,1267653
64,1003
64,524
64,3894
64,1810
64,3895
64,219479
64,1101349
1769,18517
1769,101831
1769,28626
1769,3614
205,206
205,204
205,40036
205,6944
205,1005852
4512,16896
4512,6450
4512,3380
4512,157936
4512,2040755
4512,57756
55983,109887
55983,64180
55983,68456
55983,17483
55983,6238
7908,68455
7908,2
7908,6
7908,3
7908,1216096
15175,898
15175,1264
15175,4955
15175,109255
15175,1817034
138,4762
138,2545
138,1037
138,3129
138,147
3084,9857
3084,5248
3084,4483
3084,13570
3084,3417
3087,103829
3087,84678
3087,106179
3087,10190
3087,5250
3087,3810
3087,72305
3087,44735
3087,8487
3087,8488
3087,8489
8349,2880
8349,1063
8349,104997
8349,11088
8349,3266
8349,36059
8349,928944
8349,2022250
8349,514
8349,1892
8349,125025
8349,122889
8349,2641
8349,72028
8349,4724
8349,66743
8349,1461
8349,2098136
8349,2098137
13848,13852
13848,13853
13848,14028
13848,14029
13848,14434
13848,14435
13848,19426
13848,21301
13848,14027
13848,14438
13848,106569
13848,106570
13848,29545
13848,3363
13848,13855
13848,147962
13848,21306
13848,21303
13848,68703
13848,578708
13848,176543
13848,1488806
13848,290
13848,14674
13848,11487
2227,1162360
2227,55085
2227,2682390
2227,94059
2227,102603
2227,76788
2227,108916
2227,1371
30807,31212
30807,78848
30807,99599
670,72754
670,60074
670,1245537
670,4027
670,67367
2154,1213783
2154,20
2154,516
2154,2155
2154,151385
2154,2372
2154,55725
1306064,1736908
1306064,82702
1306064,18793
174981,1250
174981,10730
4430,82315
4430,11492
4430,1916574
4430,1492215
4430,8385
4430,71531
4430,1383964
4430,1867979
3265,52087
3265,6678
3265,12950
3265,10412
3265,1933
3265,6250
3265,14812
3265,10699
3265,44384
3265,35028
3265,78729
3265,17628
3265,1050292
3265,1050293
3265,1050294
3265,5821
3265,4670
4078,44797
4078,1434484
4078,99846
14276,83259
14276,585373
14276,11190
14701,24399
14701,24478
14701,36925
19429,1062379
19429,65103
19429,57700
19429,62410
19429,1619377
19429,1331010
19429,122528
19429,1341
19429,135177
19429,132476
19429,1698118
18897,1619
18897,1338
18897,1635792
18897,130394
18897,238888
18897,695
15111,144302
9979,56890
9979,46393
9979,8893
9979,1162
9979,20212
9979,1204
9979,21818
9979,1204293
9979,27116
9979,1066777
9979,65013
9979,4808
9979,9560
9979,67315
9979,2734157
9979,2045089
9979,4687
9789,9871
20156,15531
